,Text,Emotion
2108,Thanks @ArtandPerfume for showing us this @NationalGallery event: death + paintings = yes! - http://t.co/kfAFrgyp84 http://t.co/9VTFbonY4U,joy
2109,"1 of my images selected for 'Evolver' magazine 50 Finalists Show @ThelmaHulbert opens 4/7 ""Four Fish"" @SimonEvolver http://t.co/Ew4MuwoZ2N",neutral
2110,@MrStuchbery @britishmuseum Great photos. Definitely going to visit over the summer.,joy
2111,@liamworrall93 @NationalGallery Liverpool Student Offers: http://t.co/hm2Vq8L5dc,neutral
2112,@souzeeb I bet @britishmuseum is good. Search for all your favourite art institutions. Bye for now,joy
2113,To celebrate new Pollock exhibition @tateliverpool has amazing ticketed event of live 'Pollock' jazz on 4 July. Visit website for tickets,joy
2114,The #DefiningBeauty exhibition at the @BritishMuseum is *fantastic*. Closes on 2nd July so hurry hurry! Taster here: http://t.co/KkbViliNyc,joy
2115,"Just a week left of ""Defining beauty: the body in ancient Greek art"" @britishmuseum - on until 5th July! http://t.co/eDOPR8QGWa",neutral
2116,Saturday 4 July @_TheWhitechapel #London A symposium of #radical #film from contemporary #Greece: Athens NOW http://t.co/3MNJkQQ8WE,neutral
2118,Historic Kitchen takes on some pungent #recipes from a @britishmuseum #AncientRome cookbook. http://t.co/glZwvZUz1b http://t.co/4KU22FqFcM,neutral
2119,@MontacuteNT @NationalGallery I certainly did! I didn't get a chance to look round the gardens so will definitely be back soon!,joy
2120,Gallery no. 1 @britishmuseum #londonsights http://t.co/KY2Wk4BOkO,neutral
2121,@britishmuseum Did Napoleon have any relationships with other women after he divorced Josephine? #Waterloo200,neutral
2122,LAST CHANCE for GAUDIER-BRZESKA: NEW RHYTHMS @kettlesyard closes #Sunday,neutral
2123,I then wandered through the @BritishMuseum's Ancient Greek galleries. This helmet was a Corinthian offering to Zeus. http://t.co/26gZ5XF6Fb,neutral
2124,Etching glasses for Thursday nights Gin Performance @SeanKellyNY -6-8pm @tignortronics @MattsGallery @_TheWhitechapel http://t.co/DMa9GXyYtz,neutral
2125,"@benugo @britishmuseum  Teruel ham, an excellent choice. Definitely on my 'to visit' list.",joy
2126,#courtauldsummerparty tickets booked! Whoop! #Courtauld @_TheWhitechapel #letthegoodtimesroll,joy
2128,@CelesteRegal Like those 'melted' carved frames in Paris? @NationalGallery,neutral
2129,@dolphinmaria @britishmuseum Better jaw-jaw.. . But I think he managed both.,neutral
2130,GO visit @Sothebys or @ChristiesInc &amp; take photos of  #art instead of @_TheWhitechapel where you can't take photos &amp; waste your time @phnat,anger
2131,"#NG365 Gerrit Dou's ""A Poulterer's Shop"" (c.1670) @NationalGallery #art #DutchArt http://t.co/dZ3c4UYxNp",neutral
2132,@britishmuseum thanks.  We gad a good day.,joy
2133,@_ArtMachine @britishmuseum Seems reasonable :),joy
2134,Link http://t.co/3rJdn1ARPW por @britishmuseum es el tuit más popular en mis 'news feed' de hoy,neutral
2135,Love the exhibition of Kangas @RAMMuseum inspired. http://t.co/z1ZStT7XS1,joy
2136,"@tateliverpool looking forward to the private view today, what time does it start?",joy
2137,Love Rivane Neuenschwander's I Wish Your Wish installation @Tate_StIves http://t.co/Z5H4c3IUsN,joy
2138,"@britishmuseum In that film N. was a glutton for ice cream, does this have any truth in it? #Waterloo200 #ziggypiggy https://t.co/1iL11KemcA",neutral
2140,Arriving early for @EVCOMUK Liverpool?  See http://t.co/ckiFJnRir3 for things to do &amp; offers incl @TateLiverpool @LivEveryPlay @LivCathedral,neutral
2141,There's tours of our gardens (3pm) &amp; art collection (2pm) as part of Castle Hill Open Day tomorrow with @kettlesyard. Hope to see you there!,joy
2142,Cambridge is spoilt for choice; @polarmuseum @WhippleMuseum @SedgwickMuseum @FitzMuseum_UK @classarch @ZoologyMuseum https://t.co/tUgnhy0pXp,joy
2143,"I'm at @BritishMuseum in London, Greater London https://t.co/Zf5Ajn3GYr http://t.co/ccsdlJEeW3",neutral
2145,@kettlesyard #Cambridge - lovely #cat souvenir of #gaudier-brzeska drawings. With #Monmouthcoffee http://t.co/cKA1Ez0Kal,joy
2146,Ancient artefact meets new technology for RAMM’s millionth visitor @RAMMuseum #Exeter http://t.co/uodOV3NNGY http://t.co/Z69yfzmAV2,neutral
2147,#FF Great museum accounts: @ExploreWellcome @AshmoleanMuseum @PlymouthMuseum @BassetlawMuseum @PooleMuseum @ILoveMuseums  @kidsinmuseums,joy
2148,"@britishmuseum  My favorite is "" Beethoven, or the 'Kiss of the whole world""'; Alois Kolb1900 http://t.co/Yqh0nvCZmJ",neutral
2149,@Tate @NationalGallery @followthisguide This one of my favourites #sothere,joy
2150,"@britishmuseum fraud laws made, voicelj",neutral
2151,No doubt @britishmuseum is one if the best attractions in London. https://t.co/Wf2Rnjeqbw,joy
2152,Helen Wilson talks about her CDA PhD work w/ @OfficialUoM @britishmuseum. Do innovative techniques add to #cdavalue? http://t.co/tRpVo0If7n,neutral
2153,@NationalGallery @photopraline Yes... but not as  #Rembrandt his paintings makes me weep ..#DUTCH 17th c golden age paintings ahhhhhhhh,sadness
2154,@NationalGallery @Londoncraftweek A frame makes such a difference.Up close #Klimt Pallas Athene frame is beautiful http://t.co/Y279Q8Rl7e,joy
2155,@Magpie_Dreams @britishmuseum Yes it was. It's related with the conquer of Granada in 1492.Then the flower was included in the coat of arms.,neutral
2156,"Learning photography, history and respect for the dead @britishmuseum yesterday #AncientLives my son loved it #homeed http://t.co/Xtr9n4eG5r",joy
2157,NOW! Experience the masters at work @FitzMuseum_UK http://t.co/UJjMHF68iD @Visitcambs #lovecambs http://t.co/gv4SKhDsYN,joy
2158,@NationalGallery and my son and I were excited to be at your beautiful museum in February! http://t.co/3yrEoIe53T,joy
2159,Castle Hill Open Day today 12-5. We'll be in Castle St Methodist Church @kettlesyard @cabinet_curios @CambridgeNewsUK http://t.co/H79D9a3yJx,neutral
2160,Last week: #CanAltay @kurusehir @tateliverpool @frieze_magazine @sanatatak @cfitewassilak @SALT_Online @ArtMonthly http://t.co/2Rijp2lTxj,neutral
2161,Really looking forward to seeing this Watercolour exhibition @FitzMuseum_UK #Turner #Sargent #Whistler,joy
2162,"Find inspiration next week on Bronze Age art, ancient Cyprus and Roman money at @britishmuseum http://t.co/nFjlFolM0u http://t.co/uwl6Fg9P8W",neutral
2163,"Find out more about Allora&amp;Calzadilla's mud sculpture ""HopeHippo"" http://t.co/fL8UY5QXAN @neongreece @_TheWhitechapel http://t.co/iv7VU3gEUZ",neutral
2164,"#NG365 Jacob van Ruisdael's ""A Landscape with a Ruined Castle and a Church"" @NationalGallery #art @JohnConstableRA http://t.co/kbTVGro5aH",neutral
2165,"Courtyard of a House in Delft, by Pieter de Hooch 1658 Oil on Canvas   (@NationalGallery)  @pwadey http://t.co/lmzmt7NIpl",neutral
2167,A lunchtime view doesn't get better than this. @Tate_StIves http://t.co/GBatt8pqFl,joy
2168,"""@britishmuseum: Peter Paul Rubens was born #OTD in 1577. http://t.co/2JplC1xL5V http://t.co/ZA5mSyLETi"" #SundayArtExchange @MarthaPlimpton",neutral
2169,@Ophiolatrist @britishmuseum The stupid #French prick was crushed by my Russian Imperial ancestors. 😂 #Waterloo200,anger
2170,"Corinthian black-figure hunt krater w/ Caledonian boar &amp; ANTIPHATAS, POLYDAS &amp; EVDOROS (backwards) @britishmuseum http://t.co/8n7Md2RwjE",neutral
2171,#AskTheGallery What is the key of the success of the @NationalGallery?Why visitors should come to your gallery&amp;not another museum in London?,neutral
2172,Last chance to enter our competition to win tickets to the @BritishMuseum Indigenous Australia exhibition http://t.co/jnaXm8jzmX,neutral
2173,Join @Buzz_dont_tweet &amp; @PlymouthMuseum for a #WildAboutPlymouth Big Bug Hunt on 11th July https://t.co/QojUQp1WO9 #Plymouth,neutral
2174,"""@tateliverpool: We are transforming our café special evening performances of Pollock inspired jazz http://t.co/vyPchjC26i""@TracyJHulse",neutral
2175,@Asamsakti   #ArtTherapy   Rubens  Samson and Delilah   1609-10  @NationalGallery    London,neutral
2176,BritishMuseum: RT @divaSTW: All I can say is WOW - @britishmuseum: Your groundbreaking #8mummies exhibition is fan… http://t.co/L0tbP9GItj,joy
2178,@JillyEdwards1 @Tate_StIves is it Tracy Kendall wallpaper?,neutral
2179,@NationalGallery #AskTheGallery what are the most difficult audiences you have ever reached actively- and why and how?,neutral
2180,@britishmuseum @aroberts_andrew Any pictures of Gebhard Leberecht von Blucher flag? #Waterloo200 #BonaparteAndTheBritish,neutral
2181,"Celebrating Africa season, visit the exhibition The Sudanese lyre at @britishmuseum http://t.co/bHJziSiCsr",neutral
2182,Ketaki Sheth's photos of the Sidi people are absolutely amazing. @NationalGallery http://t.co/8mG39uBRSs,joy
2183,Today I decided not to renew my @britishmuseum membership after being shouted at by one of their spaniards.,anger
2184,Booked on to What's it Worth? The Value and Potential of the CDA @britishmuseum 27 July. Shld be an interesting day! http://t.co/kjtXnbSJOA,joy
2185,The @NationalGallery curatorial trainee @HelenHillyard relaunches the Baroque Galleries at @BM_AG tomorrow!  http://t.co/zUumaE2Bdf,neutral
2186,@ObservatorioH Seis da manhã em Outubro... Maldição! @britishmuseum,neutral
2187,'Where to see Hepworth' via @MailOnline feat. @HepworthGallery @YSPsculpture @PierArtsCentre @Tate &amp; @Tate_StIves http://t.co/yZq8SQAAbS,neutral
2188,@HenriNiotou @guardian @tateliverpool http://t.co/zMuxQEZYrb,neutral
2189,@lapsedarchaeo @RAMMuseum @DurhamRDerby @a_seifertova @AnthropologyTip Thank you!,joy
2190,"An early tool from ancient Rome, similar to a Swiss Army knife, is on display at the @FitzMuseum_UK in Cambridge: http://t.co/Avqx2fX287",neutral
2191,French 18th century room (33) re-opened @NationalGallery with reinstated dome and natural light- fantastic! http://t.co/4Otam6N2Bo,joy
2192,@wmarybeard Just saw #DefiningBeauty @britishmuseum. How was disability represented/perceived in Classical Greece?,neutral
2193,Children's Commission @_TheWhiteChapel .Rivane Neuenschwander 's work of children's fears in London. #Adultfears http://t.co/TL1kVO5EDq,neutral
2195,"Dr Jago Cooper from @britishmuseum will be @uniofleicester's #PGRFest keynote speaker, speaking on ‘The Power of Research’!",neutral
2196,@britishmuseum #hearingaccess inspires role models for people with hearing loss. http://t.co/fNoDpOEZ0W,joy
2197,MPs debated planned privatisation @NationalGallery yesterday as #PCS members continue their latest 10-day strike. https://t.co/RhL7xynqu5,neutral
2198,In Conversation: with Alan Cotton &amp; David Hempleman-Adams next Thursday via @ICIABath . Come along! https://t.co/Ua1IjqJx3s,joy
2199,Distance makes the heart grow fonder but already heartbroken @kettlesyard shutting for 2 yr refurb on 21Jun; go now❤️ http://t.co/7HMmPRcJtz,sadness
2200,"River Stars Reindeer exhibit at @MAACambridge, taking photos back to community &amp; getting their responses is great. http://t.co/HoSY74V8jk",joy
2201,#FF #FollowFriday @GTroopRHA @sinonevero @suzilove @ThelmaHulbert @MartynPrice3 @LansonLoyalty @AntiqueMag @BHL_valuer @trueyankees,neutral
2202,At @britishmuseum — https://t.co/TAjlY6JGim,neutral
2203,"Hello from Jerwood Gallery, Hastings! Dr Penny what is your favourite Modern British work in the @NationalGallery Collection? #AskTheGallery",neutral
2204,Construction steams ahead Tate St Ives phase 2 @Tate_StIves @ILoveCornwallUK @BAMConstructUK http://t.co/X8q5ERGehi http://t.co/CKw68LfGP7,neutral
2205,Born #OnThisDay 1577: #PeterPaulReubens. The Fall of the Damned (1620). @ArtCorgi @britishmuseum #art #AltePinakothek http://t.co/FRSb8064UF,neutral
2206,"I'm at @NationalGallery in London, Greater London https://t.co/xgYJI4H1KK",neutral
2207,"I'm a music #artist who loves her #food. If u ever come to #London, have one of these @NationalGallery #foodie #eat http://t.co/8Pl6wXfw4x",joy
2208,Rarely seen watercolour treasures go on display at @FitzMuseum_UK - @chrismannbbc 17:45 http://t.co/LS0c6wQ3Do http://t.co/1ssIN2LwTw,neutral
2209,The Cheeky Spouse Daily is out! http://t.co/fvlc2O2AqG Stories via @Buy_Natural @kettlesyard @TastesofAnglia,neutral
2210,Today our 2 interns visited @britishmuseum to reunite our archive documents with objects distributed over 133 years. http://t.co/o04gqbjETf,neutral
2211,"Davvero bella quest'opera , grazie Dil @Asamsakti  Benvenuto Tisi A Pagan Sacrifice  1526 @NationalGallery  London UK",neutral
2212,Spent the day getting lost in the museums of Cambridge especially @MAACambridge what an amazing collection http://t.co/85jFiRrCHb,joy
2213,View of L’Estaque by Cézanne at risk of being exported @FitzMuseum_UK unless a buyer can match the £13m asking price. http://t.co/F3qTEMqha7,sadness
2215,"Top work by the exhibitions team and all @tateliverpool on a great summer season. Check out Pollock, Ligon and Bratescu, PV tonight!",joy
2216,@Ophiolatrist @britishmuseum Nicer girlfriend?,neutral
2217,"Faience vessel from @TheEES excavations at Sesebi, at the @britishmuseum! #Nubia #Sesebi http://t.co/SP3VOFfAjQ",joy
2218,More beauties from @NationalGallery. #trafalgarsquare #londonvacation #artgoestotheheart http://t.co/nyOWf1KU7p,joy
2219,"@tatteredstones @kettlesyard It has long been on list to visit. Oh well, will have to be patient.",neutral
2220,Read our new article about #Periscope &amp; @britishmuseum at http://t.co/Tbiw15AhR9 https://t.co/CRdQAKOuJt,neutral
2221,"@psframes @nationalgallery  Fía en tu duro, más que en amigo ninguno.",neutral
2222,#WeekendGuide tomorrow 4pm @ArtBasel go see the discussion on Cross Cultural Exchange with @DCAMindia  @_TheWhitechapel and more,neutral
2223,30 mayo 1887 se descubre el primer sarcófago #fenicio de  #Gadir -#Cadiz (s.IV a.C.) @ahencyclopedia @britishmuseum http://t.co/YIYQsNSNHr,neutral
2224,@museiincomune @MarDixon @TCDArtCurator @leCMN @louvrepourtous @MuseeLouvre @britishmuseum @AlcaMaglie @ITweetMuseums @svegliamuseo ahahaha,neutral
2225,Unfortunately the transition narrative parts of those stories were handwaved away in the commentary. @foxvertebrae @britishmuseum,sadness
2226,@Libby_Brodie @NationalGallery happy birthday libby xx,neutral
2227,A taste for honey: bees in African rock art http://t.co/2hgK9sNrcl via @britishmuseum,neutral
2228,@pcs_union @CliffordRoger @NationalGallery craigavon trades council sends a message of solidarity,neutral
2229,Start your @_TheWhitechapel #FirstThursday at Ceviche Old St Gallery from 6pm next week: http://t.co/NcgIr6b1zX http://t.co/e0PJX5t4DK,neutral
2230,@NationalGallery @BohanRob  it's very beautiful and creative painting,joy
2231,@schemaly @britishmuseum Sounds to me like #FemalePrivilege is making them take their time.  #EverydaySexism,neutral
2232,@britishmuseum  : Cover Ulysses-nya Joyce karya Matisse : http://t.co/IoubnWlnCB,neutral
2233,Volunteers needed for ARTIST ROOMS: Gerhard Richter @PlymouthMuseum http://t.co/8leTEA8rUs Deadline: Thurs 3 Sept #artopps,neutral
2234,"@britishmuseum, is that the Mold gold cape in the first pic, or am I mistaken?",neutral
2235,#JanVanEyck: Hombre con turbante.1433 @NationalGallery http://t.co/Aj3WGqVgKh,neutral
2236,1/2 Record @britishmuseum of 18th cent conversation in #Australia. British soldier &amp; #Aboriginal woman Patyegarang... http://t.co/43qYCvgmEJ,neutral
2238,"Rehearsing for my British Museum show July 12. Performance Drawing, durational. #art @britishmuseum  @artlicks  @shubbakfestival  #egyptart",neutral
2239,"The first owner of Cézanne's 'The Stove in the Studio' was his boyhood friend, Emile Zola... http://t.co/Jp3zomiPg1 via @NationalGallery",neutral
2240,Lovely to see the house at @kettlesyard this morning for a final peek! #cambridge #art http://t.co/caOUtxdWwW,joy
2241,It's wine o'clock at the National Cafe with oliverpeyton @nationalgallery tonight - half price wine… https://t.co/7ZkZTnrXSj,neutral
2242,Looking forward to the soundscapes exhibition at the @NationalGallery in July: http://t.co/2dv3wDk9H7,joy
2243,Happy Birthday #Rubens - #Samson and Delilah @NationalGallery - sexiest painting in the world! That #purple drapery! http://t.co/m5xvIkZEdy,joy
2244,@caitlinrgreen  @britishmuseum Real significance of  Arabic Mint in England in revealing European Islamic past http://t.co/IBmc7ywZpo,neutral
2245,Great @NationalGallery #BaroqueSSN study day at @BM_AG discussing the gallery's fantastic new rehang &amp; visitor engagement with 17C art,neutral
2246,Enjoyed our visit to the @britishmuseum today! http://t.co/hpsbNGZsxU,joy
2247,#speechless #IngmarBergman #silence #tystnaden 1963 @SMGUT @guillermosolana @museothyssen @NationalGallery http://t.co/pAJuehLRfr,neutral
2248,"Tonight, head to @_TheWhitechapel for a talk on 'Theatricality in Contemporary Art &amp; Stage Design' http://t.co/Z1pQhkbWCv",neutral
2249,Tokens designed + made ready for new Egyptian Tours starting @RAMMuseum this Sat. Get yrs from reception on the day http://t.co/ArwbF00Txp,neutral
2250,@CelesteRegal Ancient beauty is much more dependable...:) (thank you for retweeting)... :) @NationalGallery,joy
2251,British Museum @britishmuseum #photography #streetphotography http://t.co/muH4CANaSw,neutral
2252,@ydalycul @PaulKindersley @NTHepburn @kettlesyard I'm not sure if this is the same Christopher Wood...,neutral
2253,@CamUnivMuseums - this looks like a brilliant summer programme!,joy
2254,@britishmuseum That's cool!,joy
2255,"Cornelis Visscher: ""The Large Cat,"" an engraving. The Netherlands, 1657. http://t.co/bsaU4S7jDb @britishmuseum http://t.co/VnPgJqQ50S",neutral
2256,@NationalGallery How do you think curators can keep traditional art relevant in a contemporary age? #AskTheGallery https://t.co/2NDYvOfs1a,neutral
2257,Alan Cotton &amp; David Hempleman-Adams here on campus at The Edge this Thursday. Come along https://t.co/Ua1Ijr17V0 @ICIABath,neutral
2258,"#IndigenousAustralia exhibition @britishmuseum is powerful and moving. Importantly, it doesn't gloss over the evils of colonialism. See it.",joy
2259,Face the Music! http://t.co/rJ8FydmuEq 100s contrib. inc. @G_lizlulu @kettlesyard @DanielleMarieMu,joy
2261,MT“@britishmuseum: It's the longest day in northern hemisphere: #SummerSolstice at Stonehenge http://t.co/nWSMpUCTba http://t.co/wMddH2oo4u”,neutral
2262,@PrisonHorsens @museum140 thanks! @NationalGallery just got on IG yesterday as @national_gallery. Thats a must-follow,joy
2263,"Our review of @britishmuseum's new Rothschild Renaissance gallery: ""Challenging &amp; intriguing"" http://t.co/LQE4nzQVhB http://t.co/DXvWb5JbSV",joy
2264,Found some pretty old @britishmuseum web design work http://t.co/UpB5EYm2B9,neutral
2265,Very excited for the Jackson Pollock press viewing @tateliverpool today! #sneakpeek,joy
2266,@nautilusnat @CamUnivMuseums @ZoologyMuseum Hello and thank you for the warm welcome!,joy
2267,#askthegallery How much public money have you spend on brining in CIS scabs during the current PCS dispute? @NationalGallery,anger
2268,"I'm at @NationalGallery in London, Greater London https://t.co/wInooFg98s",neutral
2269,Together we can climb every mountain @StIvesSch @Tate_StIves   https://t.co/8hIXAKK8Rd.  http://t.co/fPJcyJBnVJ http://t.co/FTU3c4YstK,neutral
2270,"Great opportunity to see Russian artist Arseny Zhilyaev at @_TheWhitechapel this Thurs, who's on show @la_Biennale http://t.co/t1fZx0gcPx",joy
2271,Greek Sculpture @britishmuseum. Learn more about out AW15 inspiration on the journal  http://t.co/DKGuz0cchD http://t.co/AHDupAxg7z,neutral
2272,Saw this @britishmuseum and thought of you @Chicken_project http://t.co/Q331VPoNqR http://t.co/TRfSwe1MBk,neutral
2273,Please still come down we are open until 5pm today we would love to see you. #CastleHill15 @CambridgeNewsUK @kettlesyard,joy
2274,'visually striking compilation' great blog @curatedjenny on RiverStarsReindeer @MAACambridge https://t.co/ToVrGcMizu http://t.co/HAxAISXabz,joy
2275,From The Tomb Of #Nebamun — 1350 BC | #Egyptology #Archaeology #AncientEgypt @britishmuseum http://t.co/2KxSE2glig,neutral
2276,Finally made it to @britishmuseum #AncientLives #8mummies. Another stunning triumph of the fab @NISSENRICHARDS studio http://t.co/Oq4BgeOe8v,joy
2277,Ethel Maude collective (includes me!) screening in the Luminous Latitudes programme @_TheWhitechapel Thurs 9 July http://t.co/mCWfWFNg1C,neutral
2278,http://t.co/E4ktdgnt8N @tateliverpool @cheshirelife @DBakerGallery @ShopCheshireUK,neutral
2279,"@MartinUMueller Stimmt wohl, vielleicht müsste ein Dan Brown seinen Langdon ins Pergamon schicken? @DerSPIEGEL @MuseeLouvre @britishmuseum",neutral
2280,FAB Liverpool package Jackson Pollock: Blind Spots @tateliverpool + @hotelindigo + voucher #dazzleferry do pick it up @TravelBird_UK,neutral
2282,"@macpowell @NationalGallery, @Hirshhorn on the mall and many many many others.",neutral
2283,"As a visitor low on cash, I was glad to see this prominent, but tasteful, text-to-give sign at the @britishmuseum http://t.co/oREcDlQ0tu",joy
2284,Beauty and beastliness in ancient Greece: http://t.co/ef2NOv78Sq (about @britishmuseum #DefiningBeauty),neutral
2285,Pebble fancier and Tate curator in the 30s:Jim Ede's collection of stray objects and art @kettlesyard - beautiful. http://t.co/o3Cy7SSa3Y,joy
2286,British Prints and Propaganda Exhibition in age of #Napoleon @britishmuseum Feb 2-Aug 16 2015 http://t.co/pLWp7PC91q http://t.co/MX1eASqqXX,neutral
2288,"Great end to my time @MAACambridge: cake, a performance from the Zugubal dancers of the Torres Strait, and these! http://t.co/Fn7DLB0oc9",joy
2289,“@CharleJHuguenin: #Velazquez Vénus exposée actuellement à Paris mais habituellement à la @NationalGallery http://t.co/S8eVJc1kUu”,neutral
2290,"@MartinUMueller Vielleicht ist das britische, kostenlose Modell ein Modell? @DerSPIEGEL @MuseeLouvre @britishmuseum",neutral
2291,@psframes enjoyed the Sansovino Frames! @NationalGallery http://t.co/SPCVtC15Lt,joy
2292,Are the Rothschild bronzes by #Michelangelo?@FitzMuseum_UK is holding a conference to find out http://t.co/KkKzKt7idf http://t.co/vElV09jfPc,neutral
2293,"@JohnConstableRA @NationalGallery Thank you, Sir!",joy
2294,Today's 'A Monochrome Dream' is out! http://t.co/q1KuG67YiV Stories via @_TheWhitechapel @noukkasigne @BayfieldTrain,neutral
2295,@NationalGallery Thank you for the information - it's a very beautiful painting 🎨,joy
2296,#DefiningBeauty wonderful exhibition     * * * *     5 stars    Thank You @britishmuseum   :)  X http://t.co/R7wC7jnKcJ,joy
2297,"@britishmuseum Nice info - it is election night in Denmark, so it was difficult keeping the concentration - but it looked interesting.",joy
2298,@NationalGallery I bought this copy from your museum last summer. Love it! #beauty #artlovers,joy
2299,@TheLancet @britishmuseum,neutral
2301,The 'Take One Picture' project gives children across the UK an opportunity to present their work @NationalGallery http://t.co/juGR6aBdWH PD,neutral
2302,Images of #Cambridge May 2015. 3. In the @FitzMuseum_UK.  https://t.co/9YTkdB6mA6,neutral
2303,This Sat #CastleHill15 is packed with free events indoors &amp; out for all ages - plus last chance to see @kettlesyard http://t.co/5kKPcjR7EY,neutral
2304,Go see Art in Dialogue: Duccio | Caro @NationalGallery this weekend http://t.co/ad2qC933jc http://t.co/3X4Xo4S5gv,neutral
2305,Great to see the newly re-hung Baroque galleries @BM_AG in association with @artfund @NationalGallery make sure you don't miss out!,joy
2306,@Independent this image more like it?  thanks for highlighting @TARA_AFRICA &amp; @britishmuseum #africanrockart work http://t.co/36V6SzpUzk,joy
2307,A truly great museum... - Drinking a London Lager by @MeantimeBrewing at @britishmuseum  — http://t.co/rBJVhUtR5O #photo,joy
2308,"Aaron Angell in conversation with @Tate_StIves Sam Thorne, Sat 18 July 4pm, Studio Voltaire. Booking is recommended http://t.co/vvBfYBpZ9g",neutral
2309,$27M Moscow modern art gallery opens http://t.co/UcsvigSbny #RussiaMuseum @JimWard6 @britishmuseum @MuseumModernArt @Tate @artdaily,neutral
2310,@tateliverpool @DavidSandum sooooo wish I was there!!!! I did my Art GCSE on him a very long time ago! ;)) he's the man!!!!,joy
2311,"@britishmuseum Good day, thanks regarding the follow.  http://t.co/MotWULBLl2",joy
2312,Great morning #ruskinturners #watercolours @FitzMuseum_UK,joy
2313,@dpanikkar @Chemburstudio @DalrympleWill A Gril luring quicksilver from a mine by her beauty #Mughal @britishmuseum http://t.co/BkYFOf03bs,joy
2314,Lo viste? El tuit más popular de hoy entre las personas que sigo http://t.co/5EGK8fbKX6 por @britishmuseum,neutral
2315,@tateliverpool Pollock cool.,joy
2316,"Planning to stop by the @NationalGallery again tomorrow (24/6, Wed). Will the Van Gogh exhibit be open? #pleasesayyes",neutral
2317,"@britishmuseum Not from life then, since he died in his 30s",neutral
2318,The @NationalGallery show 'Inventing Impressionism' has left London for US but fascinating to read about even after: http://t.co/ZUC2bleqz4,joy
2319,"This Saturday, find us at Castle Hill Open Day 2015 @kettlesyard at the Methodist Church. #CastleHill15 http://t.co/ZR003zSYsq",neutral
2320,Great to be at the @britishmuseum tonight. Looking forward to the Main event next week with @ALISON_PRICE and @wiseproductions #bestinshow,joy
2321,"I'll be @RobertElms @BBCLondon949 at 12.40pm talking about @SerpentineUK Pavilion, #BarbaraHepworth @tate, James Richards @_TheWhitechapel .",neutral
2322,I've placed an #ExportBar on #Cezanne masterpiece that's been on loan to @FitzMuseum_UK. Last chance to keep it in UK http://t.co/fI4Ehq3IXA,neutral
2323,#LeonardoDaVinci The Virgin and... http://t.co/3WsntDiAV3 @NationalGallery @MuseeLouvre @mbellasartes #Art #Museum http://t.co/D2SDyddRnS,neutral
2326,After visiting @britishmuseum it has got me even more excited for Uni (if that's possible) can't wait to visit again #HistoricalArchaeology,joy
2327,"In 'Self Portrait', Murillo's hand on the oval frame blurs the distinction between what i... http://t.co/cKsULWsuQl via @NationalGallery",neutral
2328,Vote 4 The Next Big TV &amp; Radio Presenter @PresenterCamp http://t.co/rvwZNMc5Tf Watch https://t.co/oYSAaUSaG0 #PresenterCamp @NationalGallery,neutral
2329,@britishmuseum 😘,neutral
2330,@britishmuseum   @RebeccaHossack Rebecca Hossack @ British Museum talking about collecting Indigenous #Australian art Fri 3rd July 18.30,neutral
2331,Hear the painting. See the sound with Soundscapes at the @NationalGallery until 6 Sep #MuseumMonday http://t.co/qA7ZG2923u,neutral
2332,Thanks for the support ! @jfosterriba @_TheWhitechapel,joy
2333,Tasty lunch in St Ives @Sloop Inn before a visit to @tate_stives @VisitCornwall @VisitBritainPR http://t.co/GqsJPZMafF,joy
2334,@Cambscene @CamUnivMuseums @polarmuseum surely that statue wd be cold? Is that the originator of the saying about freezing brass balls off?,surprise
2335,@AppCultura @britishmuseum @paleotwit @RupestreUNESCO gracias! Tenemos solo 4 dias hasta q la campana http://t.co/lmMYeaqmMn se acaba!!,neutral
2336,@britishmuseum @bastilledan Have you seen this?,neutral
2337,@britishmuseum thank you for your wonderful activity today #Waterloo200 will you put together your tweets in Storify or similar?,joy
2338,This Sat #CastleHill15 is packed with free events indoors &amp; out for all ages - plus last chance to see @kettlesyard http://t.co/UAdlIYm4Q3,neutral
2339,"I'm at @BritishMuseum in London, Greater London https://t.co/JdcYB4nQbY",neutral
2340,Discover The Arts with Social Media: NOHO Featured Artist Natalie Ryde https://t.co/Gl8amrJgwd @NationalGallery #London #Art #Video,neutral
2341,Our #HIV 50+ group had a great time Saturday eve at the Defining Beauty exhibition. Big thanks to @britishmuseum :) http://t.co/2SvI1LlvMO,joy
2342,@HistoryGems @britishmuseum It's got to be a little mummified croc?,surprise
2343,"@britishmuseum #DefiningBeauty excellent a highlight of 2015. + your guy in the exhibition shop, fantastic service, asset to your museum",joy
2344,@suzanne_slapper @britishmuseum,neutral
2345,Today at @RAMMuseum I went into the store to see these amazing Peruvian pots http://t.co/QWumUrlGq6,joy
2346,"@idinamenzel was fab last night, @britishmuseum &amp; Southbank was cool today...all in all a good weekend in London with @NatalieCarter80",joy
2347,@_TheWhitechapel @mitpress @monoskop http://t.co/5vgDeMD5lO,neutral
2348,"Tough times, see Defining Beauty show at @britishmuseum if you can, on into July. Classical views that human form fine (godlike) and moral.",joy
2349,@NationalGallery How about starting a Twitter ac to tweet a few pictures every day &amp; over a period tweet all the collection? #AskTheGallery,neutral
2350,Le grand #Cézanne de la @NationalGallery http://t.co/f2KDGwYiCL,neutral
